"COUNTRY","Country","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","HealthExpenditure","Internet","Physicians","country","region","happiness","gdp","social_support","perceived_freedom","generosity","perception_of_corruption"
"87","MDA","Republic of Moldova","Europe","Europe & Central Asia",73.26277,12.35364,3549.75,13.55,2.53301,56.605,10.32366,43.37,3.198,"Moldova","Commonwealth of Independent States",5.607500076,8.776714325,0.843313575,0.721609175,-0.037741039,0.913314283
"88","MDG","Madagascar","Africa","Sub-Saharan Africa",65.34995,36.47212,25570.895,17.5,9.78488,2,3.04136,2.0549,0.143,"Madagascar","Sub-Saharan Africa",4.165599823,7.281685829,0.668195903,0.557574093,-0.011823639,0.817485631
"89","MDV","Maldives","Asia","South Asia",79.59427,6.51565,436.33,10.97,1.02576,43,13.73352,38.9301,3.611,"Maldives","South Asia",5.197599888,9.518632889,0.91316092,0.853962779,0.038085498,0.824211061
"90","MEX","Mexico","Americas","Latin America & Caribbean",76.01043,12.19627,129163.276,22.73,5.76687,9.8,6.29642,38.42,2.231,"Mexico","Latin America and Caribbean",6.465000153,9.797797203,0.838665426,0.858709276,-0.175266623,0.806821585
"91","MKD","North Macedonia","Europe","Europe & Central Asia",74.8186,5.34451,2083.16,29.59,0.78043,42.801,6.47637,63.1477,2.875,"Macedonia","Central and Eastern Europe",5.159800053,9.510591507,0.820392311,0.738840938,-0.019877451,0.897490501
"92","MLI","Mali","Africa","Sub-Saharan Africa",62.79813,60.20954,18541.98,63.64,10.65639,1,6.86217,2.1689,0.085,"Mali","Sub-Saharan Africa",4.729300022,7.629852295,0.731468976,0.71156615,-0.044366926,0.839328408
"93","MLT","Malta","Europe","Middle East & North Africa",81.89443,6.07825,465.292,13.14,1.28866,44.851,9.74992,70,3.908,"Malta","Western Europe",6.772799969,10.53383827,0.93037951,0.924911439,0.214965805,0.658547282
"94","MMR","Myanmar","Asia","East Asia & Pacific",69.1335,35.75486,53370.609,33.15,2.42109,10.44,2.27575,1.0691,0.568,"Myanmar","Southeast Asia",4.308000088,8.680481911,0.78440702,0.895075202,0.560663998,0.645124316
"95","MNE","Montenegro","Europe","Europe & Central Asia",75.87666,2.03975,622.471,20.39,2.7897,38.61,6.41654,NA,2.343,"Montenegro","Central and Eastern Europe",5.54610014,9.751860619,0.855314612,0.649565637,-0.075600356,0.783121586
"96","MNG","Mongolia","Asia","East Asia & Pacific",68.09768,13.44654,3075.647,42.79,1.68659,80,4.73034,16.4,3.262,"Mongolia","East Asia",5.456200123,9.412186623,0.937142491,0.693351328,0.098093867,0.863511205
"97","MOZ","Mozambique","Africa","Sub-Saharan Africa",58.13618,54.77354,29668.834,21.22,5.85158,7,6.97558,4.8491,0.055,"Mozambique","Sub-Saharan Africa",4.623600006,7.069345951,0.723874032,0.864451885,0.032375868,0.683019102
"98","MRT","Mauritania","Africa","Sub-Saharan Africa",68.37999,50.13965,4420.184,74.13,10.85748,4,3.7727,5.3691,0.127,"Mauritania","Sub-Saharan Africa",4.374599934,8.233919144,0.790819228,0.551522553,-0.106008142,0.746223509
"99","MUS","Mauritius","Africa","Sub-Saharan Africa",74.07175,14.26996,1264.613,10.52,2.33865,34,4.80954,41.3946,2.003,"Mauritius","Sub-Saharan Africa",6.101299763,9.956786156,0.910357833,0.889534533,-0.018318573,0.805343091
"100","MWI","Malawi","Africa","Sub-Saharan Africa",65.62458,30.91181,18622.104,25.62,0.93754,13,11.37796,4.3506,0.018,"Malawi","Sub-Saharan Africa",3.538000107,7.062226295,0.544007301,0.803223193,0.021433279,0.731700778
"101","MYS","Malaysia","Asia","East Asia & Pacific",74.718,7.32076,31624.264,16.27,2.71925,18.76841,4.16908,65.8,1.533,"Malaysia","Southeast Asia",5.384300232,10.26251888,0.816509426,0.894626856,0.114726797,0.839302301
"102","NAM","Namibia","Africa","Sub-Saharan Africa",64.57598,30.72507,2533.794,24.05,7.47668,27,8.92869,12.9414,0.372,"Namibia","Sub-Saharan Africa",4.571100235,9.203141212,0.846880972,0.767520964,-0.18530646,0.851449788
"103","NER","Niger","Africa","Sub-Saharan Africa",63.28761,46.72143,21477.348,93.18,9.62501,3.9,5.8213,1.4077,0.019,"Niger","Sub-Saharan Africa",4.909599781,6.842166901,0.617435038,0.759772122,0.013860817,0.722530186
"104","NGA","Nigeria","Africa","Sub-Saharan Africa",62.61868,74.16032,190886.311,61.73,13.13708,5,3.6688,32.8763,0.376,"Nigeria","Sub-Saharan Africa",4.724100113,8.57662487,0.73721689,0.759578407,0.033745807,0.861874342
"105","NIC","Nicaragua","Americas","Latin America & Caribbean",75.03769,14.31414,6217.581,22.16,2.32705,9.29783,9.04014,13.5,0.914,"Nicaragua","Latin America and Caribbean",6.13710022,8.493160248,0.857497036,0.863902867,0.020959141,0.665950119
"106","NLD","Netherlands","Europe","Europe & Central Asia",81.79341,3.45458,17132.854,11.96,0.62763,31.7,10.89729,93,3.478,"Netherlands","Western Europe",7.448900223,10.81271172,0.93913883,0.908547819,0.20761244,0.364717126
"107","NOR","Norway","Europe","Europe & Central Asia",82.61812,1.98417,5282.223,6.82,0.69327,35.3,9.71972,95,4.385,"Norway","Western Europe",7.487999916,11.08780384,0.952486575,0.955750287,0.13453263,0.263218194
"108","NPL","Nepal","Asia","South Asia",70.88377,25.6187,29304.998,81.57,4.01786,3,5.79723,11.1493,0.598,"Nepal","South Asia",5.137199879,7.925357342,0.785512447,0.797565043,0.154168829,0.738099158
"109","NZL","New Zealand","Oceania","East Asia & Pacific",81.96268,3.94255,4793.9,6.65,0.78595,25.7,11.02961,89.5109,3.061,"New Zealand","North America and ANZ",7.299600124,10.50094318,0.949118972,0.936217487,0.191598073,0.22113885
"110","PAK","Pakistan","Asia","South Asia",65.60827,55.66383,197015.955,58.76,5.96812,6.3,2.61392,9.9637,0.978,"Pakistan","South Asia",5.69329977,8.482727051,0.689062297,0.734833717,0.04489987,0.745705426
"111","PAN","Panama","Americas","Latin America & Caribbean",79.29353,12.78021,4098.587,14.74,3.30476,22.54021,8.02572,45.1999,1.594,"Panama","Latin America and Caribbean",6.304800034,10.03423405,0.902094483,0.880366504,-0.153927714,0.851588905
"112","PER","Peru","Americas","Latin America & Caribbean",79.89777,10.25527,32165.485,30.46,3.40385,15.91457,5.47303,38.2,1.116,"Peru","Latin America and Caribbean",5.796800137,9.456313133,0.831075251,0.824766099,-0.16238822,0.893714964
