"LUGAR";"MES";"ANIO";"HORA";"HORA_C";"IMP_BOL";"PUNTOS";"DENUNCIANTE";"CALIFICACION";"CAT";"HECHO.BOL";"VEL_LIMITE";"VEL_CIRCULA";"lat";"lon"
"M-30 FT K 04,150 CR4, MADRID, SPAIN";1;2016;2.18;2;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;96;40.4167754;-3.7037902
"SAN FRANCISCO DE SALES 23, MADRID, SPAIN";5;2015;9.54;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.44178;-3.71492
"CL BRAVO MURILLO 41, MADRID, SPAIN";1;2016;13.07;13;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4374224;-3.7045057
"OLIVAR 1, MADRID, SPAIN";6;2015;22.52;22;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4121602;-3.7015598
"DOCTOR FLEMING 3, MADRID, SPAIN";6;2015;15.09;15;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4549384;-3.6893403
"VIRGEN DE LA PAZ 12, MADRID, SPAIN";4;2015;16.4;16;90;0;"POLICIA MUNICIPAL";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR SOBRE LA ACERA.";NA;NA;40.4335809;-3.6596479
"CL RICARDO LEON 5, MADRID, SPAIN";12;2015;11.23;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4230348;-3.7094864
"CARLOS LATORRE 3, MADRID, SPAIN";7;2015;11.37;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4485228;-3.7063281
"GENERAL MOSCARDO 25, MADRID, SPAIN";8;2015;11.56;11;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.449939;-3.6969531
"INFANTA MERCEDES 4, MADRID, SPAIN";9;2015;12.04;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4537102;-3.6990617
