var_provincia;var_sexo;var_tipocontrato;var_grupo_cnae;var_tipojornada;var_antiguedad;salario_bruto_anual_medio;factor_elev
1;mujer;Indefinido;F;Tiempo parcial;Menos de dos años;12291.95795;276.57
1;mujer;Indefinido;G;Tiempo completo;De cinco a diez años;34542.26632;923.32
1;mujer;Indefinido;G;Tiempo completo;Más de diez años;18259.42692;1849.53
1;mujer;Indefinido;G;Tiempo completo;Menos de dos años;13190.64384;1273.48
1;mujer;Indefinido;G;Tiempo parcial;De cinco a diez años;11954.71923;374.79
1;mujer;Indefinido;G;Tiempo parcial;Más de diez años;10298.81198;1491.85
1;mujer;Indefinido;G;Tiempo parcial;Menos de dos años;467.82;64.28
1;mujer;Indefinido;H;Tiempo completo;De cinco a diez años;19392.67198;153.81
1;mujer;Indefinido;H;Tiempo completo;De dos a cinco años;23001.80199;57.98
1;mujer;Indefinido;H;Tiempo completo;Más de diez años;18259.42245;497.51
1;mujer;Indefinido;H;Tiempo parcial;Más de diez años;14895.56;10.68
1;mujer;Indefinido;I;Tiempo completo;De cinco a diez años;25089.21558;435.75
1;mujer;Indefinido;I;Tiempo completo;De dos a cinco años;18638.88876;1594.21
1;mujer;Indefinido;I;Tiempo completo;Más de diez años;30157.67579;367.63
1;mujer;Indefinido;I;Tiempo completo;Menos de dos años;18723.66;301.33
1;mujer;Indefinido;I;Tiempo parcial;De cinco a diez años;7737.224654;483.34
1;mujer;Indefinido;I;Tiempo parcial;De dos a cinco años;9374.033209;645.7
1;mujer;Indefinido;I;Tiempo parcial;Más de diez años;15531.92489;487.6
1;mujer;Indefinido;I;Tiempo parcial;Menos de dos años;7178.768918;376.1
1;mujer;Indefinido;J;Tiempo completo;De cinco a diez años;23874.47483;164.29
1;mujer;Indefinido;J;Tiempo completo;De dos a cinco años;23639.06;43.65
1;mujer;Indefinido;J;Tiempo completo;Más de diez años;44287.65478;107.12
1;mujer;Indefinido;J;Tiempo completo;Menos de dos años;40028.12;8.62
1;mujer;Indefinido;J;Tiempo parcial;Más de diez años;30438.82;17.25
1;mujer;Indefinido;K;Tiempo completo;De cinco a diez años;46354.50497;190.61
1;mujer;Indefinido;K;Tiempo completo;Más de diez años;59103.62713;98.1
1;mujer;Indefinido;K;Tiempo completo;Menos de dos años;45045.12;27.11
1;mujer;Indefinido;K;Tiempo parcial;De dos a cinco años;10352.1;47.36
1;mujer;Indefinido;K;Tiempo parcial;Más de diez años;35120.4;23.68
1;mujer;Indefinido;K;Tiempo parcial;Menos de dos años;448;75
1;mujer;Indefinido;L;Tiempo completo;Más de diez años;15901.76;63.24
1;mujer;Indefinido;L;Tiempo parcial;De dos a cinco años;22358.09;63.24
1;mujer;Indefinido;M;Tiempo completo;De cinco a diez años;21181.01987;640.05
1;mujer;Indefinido;M;Tiempo completo;De dos a cinco años;25257.12802;270.68
1;mujer;Indefinido;M;Tiempo completo;Más de diez años;23802.90306;610.63
1;mujer;Indefinido;M;Tiempo completo;Menos de dos años;25057.78995;243.06
1;mujer;Indefinido;M;Tiempo parcial;De dos a cinco años;14650.65;92.43
1;mujer;Indefinido;M;Tiempo parcial;Más de diez años;11840.37225;104.05
1;mujer;Indefinido;M;Tiempo parcial;Menos de dos años;5518.603314;354.75
1;mujer;Indefinido;N;Tiempo completo;De cinco a diez años;14069.33772;385.76
1;mujer;Indefinido;N;Tiempo completo;De dos a cinco años;20072.70452;78.44
1;mujer;Indefinido;N;Tiempo completo;Más de diez años;20120.74124;210.99
1;mujer;Indefinido;N;Tiempo completo;Menos de dos años;26029.61966;113.24
1;mujer;Indefinido;N;Tiempo parcial;De cinco a diez años;7851.84;216.33
1;mujer;Indefinido;N;Tiempo parcial;De dos a cinco años;7340.376328;701.02
1;mujer;Indefinido;N;Tiempo parcial;Más de diez años;9154.050007;945.93
1;mujer;Indefinido;N;Tiempo parcial;Menos de dos años;8799.77;216.33
1;mujer;Indefinido;O;Tiempo completo;De cinco a diez años;29863.99855;420.59
1;mujer;Indefinido;O;Tiempo completo;De dos a cinco años;40456.29732;101.91
1;mujer;Indefinido;O;Tiempo completo;Más de diez años;43055.7532;2639.72
1;mujer;Indefinido;O;Tiempo completo;Menos de dos años;30906.03945;75.6
1;mujer;Indefinido;O;Tiempo parcial;Más de diez años;17614.745;70.64
1;mujer;Indefinido;P;Tiempo completo;De cinco a diez años;20313.11652;736.28
1;mujer;Indefinido;P;Tiempo completo;De dos a cinco años;34327.81529;79.99
